Intended,Declared,Degree,value
iCollege of Chemistry,dCollege of Chemistry,gCollege of Chemistry,154
iCollege of Chemistry,dCollege of Chemistry,gCollege of Engineering,7
iCollege of Chemistry,dCollege of Chemistry,gCollege of Natural Resources,7
iCollege of Chemistry,dCollege of Chemistry,gL and S Administered Programs,5
iCollege of Chemistry,dCollege of Chemistry,gL and S Arts and Humanities,5
iCollege of Chemistry,dCollege of Chemistry,gL and S Bio Sciences,17
iCollege of Chemistry,dCollege of Chemistry,gL and S Math and Physical Sciences,5
iCollege of Chemistry,dCollege of Chemistry,gL and S Social Sciences,3
iCollege of Chemistry,dCollege of Chemistry,gL and S Undergraduate Division,5
iCollege of Chemistry,dCollege of Chemistry,gNo Degree,25
iCollege of Engineering,dCollege of Chemistry,gNo Degree,1
iCollege of Engineering,dCollege of Engineering,gCollege of Chemistry,3
iCollege of Engineering,dCollege of Engineering,gCollege of Engineering,610
iCollege of Engineering,dCollege of Engineering,gCollege of Environmental Design,4
iCollege of Engineering,dCollege of Engineering,gCollege of Natural Resources,3
iCollege of Engineering,dCollege of Engineering,gHaas School of Business,2
iCollege of Engineering,dCollege of Engineering,gL and S Administered Programs,6
iCollege of Engineering,dCollege of Engineering,gL and S Arts and Humanities,2
iCollege of Engineering,dCollege of Engineering,gL and S Bio Sciences,6
iCollege of Engineering,dCollege of Engineering,gL and S Math and Physical Sciences,6
iCollege of Engineering,dCollege of Engineering,gL and S Social Sciences,9
iCollege of Engineering,dCollege of Engineering,gL and S Undergraduate Division,3
iCollege of Engineering,dCollege of Engineering,gNo Degree,48
iCollege of Environmental Design,dCollege of Environmental Design,gCollege of Engineering,7
iCollege of Environmental Design,dCollege of Environmental Design,gCollege of Environmental Design,147
iCollege of Environmental Design,dCollege of Environmental Design,gCollege of Natural Resources,3
iCollege of Environmental Design,dCollege of Environmental Design,gHaas School of Business,1
iCollege of Environmental Design,dCollege of Environmental Design,gL and S Administered Programs,3
iCollege of Environmental Design,dCollege of Environmental Design,gL and S Arts and Humanities,5
iCollege of Environmental Design,dCollege of Environmental Design,gL and S Bio Sciences,2
iCollege of Environmental Design,dCollege of Environmental Design,gL and S Math and Physical Sciences,5
iCollege of Environmental Design,dCollege of Environmental Design,gL and S Social Sciences,11
iCollege of Environmental Design,dCollege of Environmental Design,gL and S Undergraduate Division,5
iCollege of Environmental Design,dCollege of Environmental Design,gNo Degree,17
iCollege of Natural Resources,dCollege of Chemistry,gCollege of Chemistry,2
iCollege of Natural Resources,dCollege of Engineering,gCollege of Engineering,4
iCollege of Natural Resources,dCollege of Environmental Design,gCollege of Environmental Design,1
iCollege of Natural Resources,dCollege of Environmental Design,gL and S Bio Sciences,1
iCollege of Natural Resources,dCollege of Natural Resources,gCollege of Engineering,1
iCollege of Natural Resources,dCollege of Natural Resources,gCollege of Environmental Design,1
iCollege of Natural Resources,dCollege of Natural Resources,gCollege of Natural Resources,275
iCollege of Natural Resources,dCollege of Natural Resources,gHaas School of Business,1
iCollege of Natural Resources,dCollege of Natural Resources,gL and S Administered Programs,6
iCollege of Natural Resources,dCollege of Natural Resources,gL and S Arts and Humanities,2
iCollege of Natural Resources,dCollege of Natural Resources,gL and S Bio Sciences,10
iCollege of Natural Resources,dCollege of Natural Resources,gL and S Math and Physical Sciences,3
iCollege of Natural Resources,dCollege of Natural Resources,gL and S Social Sciences,11
iCollege of Natural Resources,dCollege of Natural Resources,gL and S Undergraduate Division,11
iCollege of Natural Resources,dCollege of Natural Resources,gNo Degree,31
iCollege of Natural Resources,dHaas School of Business,gHaas School of Business,1
iCollege of Natural Resources,dL and S Administered Programs,gL and S Administered Programs,5
iCollege of Natural Resources,dL and S Arts and Humanities,gL and S Arts and Humanities,5
iCollege of Natural Resources,dL and S Arts and Humanities,gL and S Social Sciences,1
iCollege of Natural Resources,dL and S Arts and Humanities,gNo Degree,1
iCollege of Natural Resources,dL and S Bio Sciences,gL and S Bio Sciences,8
iCollege of Natural Resources,dL and S Math and Physical Sciences,gL and S Math and Physical Sciences,2
iCollege of Natural Resources,dL and S Social Sciences,gL and S Administered Programs,2
iCollege of Natural Resources,dL and S Social Sciences,gL and S Social Sciences,25
iCollege of Natural Resources,dL and S Undergraduate Division,gHaas School of Business,1
iCollege of Natural Resources,dL and S Undergraduate Division,gL and S Undergraduate Division,8
iCollege of Natural Resources,dL and S Undergraduate Division,gNo Degree,1
iCollege of Natural Resources,dNo Declared Major,gNo Degree,7
iHaas School of Business,dHaas School of Business,gHaas School of Business,91
iHaas School of Business,dHaas School of Business,gNo Degree,1
iL and S Administered Programs,dCollege of Chemistry,gCollege of Chemistry,8
iL and S Administered Programs,dCollege of Chemistry,gL and S Administered Programs,1
iL and S Administered Programs,dCollege of Chemistry,gNo Degree,1
iL and S Administered Programs,dCollege of Engineering,gCollege of Engineering,4
iL and S Administered Programs,dCollege of Environmental Design,gCollege of Environmental Design,1
iL and S Administered Programs,dCollege of Natural Resources,gCollege of Natural Resources,5
iL and S Administered Programs,dHaas School of Business,gHaas School of Business,2
iL and S Administered Programs,dL and S Administered Programs,gCollege of Chemistry,1
iL and S Administered Programs,dL and S Administered Programs,gL and S Administered Programs,96
iL and S Administered Programs,dL and S Administered Programs,gNo Degree,4
iL and S Administered Programs,dL and S Arts and Humanities,gL and S Arts and Humanities,12
iL and S Administered Programs,dL and S Arts and Humanities,gNo Degree,1
iL and S Administered Programs,dL and S Bio Sciences,gL and S Bio Sciences,9
iL and S Administered Programs,dL and S Bio Sciences,gNo Degree,2
iL and S Administered Programs,dL and S Math and Physical Sciences,gL and S Administered Programs,1
iL and S Administered Programs,dL and S Math and Physical Sciences,gL and S Math and Physical Sciences,10
iL and S Administered Programs,dL and S Social Sciences,gL and S Social Sciences,24
iL and S Administered Programs,dL and S Social Sciences,gNo Degree,3
iL and S Administered Programs,dL and S Undergraduate Division,gCollege of Natural Resources,1
iL and S Administered Programs,dL and S Undergraduate Division,gL and S Undergraduate Division,9
iL and S Administered Programs,dL and S Undergraduate Division,gNo Degree,1
iL and S Administered Programs,dNo Declared Major,gL and S Administered Programs,1
iL and S Administered Programs,dNo Declared Major,gNo Degree,12
iL and S Arts and Humanities,dCollege of Environmental Design,gCollege of Environmental Design,2
iL and S Arts and Humanities,dCollege of Natural Resources,gCollege of Natural Resources,7
